Trivial name|Smiles|Batch No|Conc uM|Relative cell count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster MitoStress|Cluster Na+/K+ ATPase|Cluster Protein synthesis|Cluster Pyrimidine synthesis|Cluster Tubulin|Cluster Uncoupling||
Centrocountin 1|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|1|10|79|5.4|0|6.2|26.4|4.3|21.6|31.2|38.8|40.5|7.2|0|0|59.9|5.6||
Centrocountin 1|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|1|30|75|54.2|0|0|72.1|0|71.6|52|63.7|18|53.8|50.3|0|91.9|57.5||
Centrocountin 1|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|1|30|76|71|0|0|77.3|0|76.7|47.8|62.4|20|55.5|59|0|88.9|52.8||
Centrocountin 1|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|1|50|72|59.6|0|0|77.6|0|76|48|68|12.3|56.1|50.9|0|92.4|61.5||
Centrocountin 1|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|1|50|75|58.7|0|0|76.7|0|75.1|45.8|61.9|19.5|55.7|55.7|0|86.2|53.3||
Centrocountin 1|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC|1|30|96|13.3|14.1|0|20|0|18.8|58.3|29.7|29.5|7.2|1|0|31.6|18.9||
Centrocountin 1|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC|1|30|89|30.9|0|0|48.3|0|47|57.4|49.3|47.3|21.1|41.1|0|58.9|34.5||
Centrocountin 1|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC|1|50|85|17.1|17.8|0|24.8|0|23|64.7|30.9|36.2|8.4|21.5|0|42|34.6||
Centrocountin 1|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC|1|50|91|32.8|0|0|56.1|0|51.6|55.3|54.8|50.2|23.4|49.3|0|66.4|41||
Tubulexin A|COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1|2|3|88|12.8|0|0|48.6|0|53.6|28|37.6|38.1|28.8|61.1|0|81.8|32.5||
