Trivial Name|BatchNo|Conc uM|Smiles|Rel Cell Count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA Synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster Na+/K+ ATPase|Cluster Protein Synthesis|Cluster Pyrimidine Synthesis|Cluster Tubulin|Cluster Uncoupling
Centrocountin 1|1|10.0|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|79|5.4|0.0|6.2|26.4|4.3|21.6|31.2|38.8|7.2|0.0|0.0|59.9|5.6
Centrocountin 1|1|30.0|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|75|54.2|0.0|0.0|72.1|0.0|71.6|52.0|63.7|53.8|50.3|0.0|91.9|57.5
Centrocountin 1|1|30.0|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|76|71.0|0.0|0.0|77.3|0.0|76.7|47.8|62.4|55.5|59.0|0.0|88.9|52.8
Centrocountin 1|1|50.0|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|72|59.6|0.0|0.0|77.6|0.0|76.0|48.0|68.0|56.1|50.9|0.0|92.4|61.5
Centrocountin 1|1|50.0|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC|75|58.7|0.0|0.0|76.7|0.0|75.1|45.8|61.9|55.7|55.7|0.0|86.2|53.3
Centrocountin 1|1|30.0|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC|96|13.3|14.1|0.0|20.0|0.0|18.8|58.3|29.7|7.2|1.0|0.0|31.6|18.9
Centrocountin 1|1|30.0|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC|89|30.9|0.0|0.0|48.3|0.0|47.0|57.4|49.3|21.1|41.1|0.0|58.9|34.5
Centrocountin 1|1|50.0|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC|85|17.1|17.8|0.0|24.8|0.0|23.0|64.7|30.9|8.4|21.5|0.0|42.0|34.6
Centrocountin 1|1|50.0|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC|91|32.8|0.0|0.0|56.1|0.0|51.6|55.3|54.8|23.4|49.3|0.0|66.4|41.0
Tubulexin A|2|3.0|COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1|88|12.8|0.0|0.0|48.6|0.0|53.6|28.0|37.6|28.8|61.1|0.0|81.8|32.5
Tubulexin A|2|10.0|COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1|64|33.2|0.0|0.0|67.0|0.0|67.1|50.6|49.0|56.6|61.7|0.0|89.1|48.9
Tubulexin A|2|30.0|COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1|66|63.7|0.0|2.1|74.3|0.0|81.3|55.3|69.0|55.8|57.0|0.0|91.6|52.6
Tubulexin A|2|50.0|COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1|60|68.9|0.0|0.0|77.4|0.0|81.3|53.0|73.9|54.1|58.7|0.0|92.4|53.2
AG-1478|2|10.0|COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC|98|11.4|81.6|0.0|0.0|62.0|0.0|25.3|15.8|0.0|0.0|40.2|0.0|32.9
AG-1478|2|30.0|COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC|80|60.8|9.6|0.0|52.8|0.0|50.4|57.9|40.1|25.8|63.4|0.0|61.9|70.7
Dynarrestin|1|10.0|CCOC(=O)c1sc(Nc2ccc(F)cc2F)nc1-c1ccc(N(CC)CC)cc1|87|20.4|0.0|0.0|32.1|0.0|26.4|19.7|37.8|24.1|24.2|0.0|36.2|0.6
Dynarrestin|1|30.0|CCOC(=O)c1sc(Nc2ccc(F)cc2F)nc1-c1ccc(N(CC)CC)cc1|85|42.8|0.0|0.0|32.0|0.0|30.4|29.6|40.1|26.9|30.2|0.0|39.5|7.2
